index,x,y,theta,discounted_reward,last_reward,path_len
1,-20.600, -17.100, 0.000, -2.079, 8.900000, 278
2,-20.600, -17.100, 1.571, -2.338, -11.100000, 72
3,-20.600, -17.100, 3.142, 0.552, 8.900000, 25
4,-20.600, -17.100, 4.712, 6.434, 8.900000, 6
5,-20.600, -14.940, 0.000, -1.017, 8.900000, 39
6,-20.600, -14.940, 1.571, -2.070, 8.900000, 278
7,-20.600, -14.940, 3.142, 2.027, 9.900000, 20
8,-20.600, -14.940, 4.712, 3.595, 8.900000, 14
9,-20.600, -12.780, 0.000, -1.017, 8.900000, 39
10,-20.600, -12.780, 1.571, -4.944, -11.100000, 23
11,-20.600, -12.780, 3.142, -3.214, -11.100000, 138
12,-20.600, -12.780, 4.712, 3.595, 8.900000, 14
13,-20.600, -10.620, 0.000, -3.169, -11.100000, 41
14,-20.600, -10.620, 1.571, -5.805, -11.100000, 18
15,-20.600, -10.620, 3.142, -0.662, 8.900000, 33
16,-20.600, -10.620, 4.712, 2.797, 8.900000, 17
17,-20.600, -8.460, 0.000, -2.417, 8.900000, 332
18,-20.600, -8.460, 1.571, -6.917, -11.100000, 13
19,-20.600, -8.460, 3.142, -3.994, -11.100000, 38
20,-20.600, -8.460, 4.712, -0.587, 8.900000, 36
21,-20.600, -6.300, 0.000, -2.713, -11.100000, 168
22,-20.600, -6.300, 1.571, -2.241, -11.100000, 150
23,-20.600, -6.300, 3.142, -7.176, -11.100000, 12
24,-20.600, -6.300, 4.712, -2.013, 8.900000, 58
25,-20.600, -4.140, 0.000, -2.531, -11.100000, 374
26,-20.600, -4.140, 1.571, -2.742, 8.900000, 343
27,-20.600, -4.140, 3.142, -2.789, -11.100000, 156
28,-20.600, -4.140, 4.712, -1.484, 8.900000, 47
29,-20.600, -1.980, 0.000, -2.038, 8.900000, 410
30,-20.600, -1.980, 1.571, -5.384, -11.100000, 23
31,-20.600, -1.980, 3.142, -4.226, -11.100000, 33
32,-20.600, -1.980, 4.712, -3.010, 8.900000, 399
33,-20.600, 0.180, 0.000, -2.430, 8.900000, 392
34,-20.600, 0.180, 1.571, -3.001, 8.900000, 665
35,-20.600, 0.180, 3.142, -8.689, -11.100000, 7
36,-20.600, 0.180, 4.712, -2.186, 8.900000, 69
37,-20.600, 2.340, 0.000, -2.938, -11.100000, 62
38,-20.600, 2.340, 1.571, -2.909, 8.900000, 447
39,-20.600, 2.340, 3.142, -8.355, -11.100000, 8
40,-20.600, 2.340, 4.712, -7.449, -11.100000, 11
41,-20.600, 4.500, 0.000, -2.153, 8.900000, 302
42,-20.600, 4.500, 1.571, -5.099, -11.100000, 22
43,-20.600, 4.500, 3.142, -8.689, -11.100000, 7
44,-20.600, 4.500, 4.712, -2.233, 8.900000, 237
45,-18.260, -17.100, 0.000, -1.124, 8.900000, 40
46,-18.260, -17.100, 1.571, -2.431, -11.100000, 65
47,-18.260, -17.100, 3.142, -2.338, 8.900000, 221
48,-18.260, -17.100, 4.712, 6.434, 8.900000, 6
49,-18.260, -14.940, 0.000, -3.142, 8.900000, 138
50,-18.260, -14.940, 1.571, -2.466, -11.100000, 67
51,-18.260, -14.940, 3.142, -2.674, -11.100000, 93
