index,x,y,theta,discounted_reward,last_reward,path_len
1,-20.600, -17.100, 0.000, -2.893, -11.100000, 66
2,-20.600, -17.100, 1.571, -1.458, 8.900000, 45
3,-20.600, -17.100, 3.142, 6.013, 8.900000, 7
4,-20.600, -17.100, 4.712, 6.013, 8.900000, 7
5,-20.600, -14.940, 0.000, -2.543, -0.100000, 400
6,-20.600, -14.940, 1.571, -2.341, -11.100000, 78
7,-20.600, -14.940, 3.142, -3.479, -11.100000, 56
8,-20.600, -14.940, 4.712, 4.200, 8.900000, 12
9,-20.600, -12.780, 0.000, 2.558, 8.900000, 18
10,-20.600, -12.780, 1.571, -2.658, -11.100000, 59
11,-20.600, -12.780, 3.142, -3.322, -11.100000, 59
12,-20.600, -12.780, 4.712, 3.595, 8.900000, 14
13,-20.600, -10.620, 0.000, 2.330, 8.900000, 19
14,-20.600, -10.620, 1.571, -6.671, -11.100000, 14
15,-20.600, -10.620, 3.142, -3.774, -11.100000, 42
16,-20.600, -10.620, 4.712, 2.558, 8.900000, 18
17,-20.600, -8.460, 0.000, -2.579, -0.100000, 400
18,-20.600, -8.460, 1.571, -2.670, 8.900000, 228
19,-20.600, -8.460, 3.142, -6.671, -11.100000, 14
20,-20.600, -8.460, 4.712, 1.350, 8.900000, 24
21,-20.600, -6.300, 0.000, -0.849, 8.900000, 37
22,-20.600, -6.300, 1.571, -2.274, -0.100000, 400
23,-20.600, -6.300, 3.142, -2.785, -0.100000, 400
24,-20.600, -6.300, 4.712, -0.345, 8.900000, 35
25,-20.600, -4.140, 0.000, -2.767, -0.100000, 400
26,-20.600, -4.140, 1.571, -6.005, -11.100000, 17
27,-20.600, -4.140, 3.142, -7.735, -11.100000, 10
28,-20.600, -4.140, 4.712, -0.055, 8.900000, 32
29,-20.600, -1.980, 0.000, -2.527, -0.100000, 400
30,-20.600, -1.980, 1.571, -3.624, -11.100000, 42
31,-20.600, -1.980, 3.142, -8.355, -11.100000, 8
32,-20.600, -1.980, 4.712, -2.083, 8.900000, 64
33,-20.600, 0.180, 0.000, -1.222, 8.900000, 50
34,-20.600, 0.180, 1.571, -6.226, -11.100000, 22
35,-20.600, 0.180, 3.142, -5.502, -10.100000, 21
36,-20.600, 0.180, 4.712, -1.629, 8.900000, 58
37,-20.600, 2.340, 0.000, -4.210, -11.100000, 36
38,-20.600, 2.340, 1.571, -3.172, -11.100000, 62
39,-20.600, 2.340, 3.142, -8.689, -11.100000, 7
40,-20.600, 2.340, 4.712, -7.449, -11.100000, 11
41,-20.600, 4.500, 0.000, -2.204, -11.100000, 75
42,-20.600, 4.500, 1.571, -2.060, 8.900000, 244
43,-20.600, 4.500, 3.142, -8.689, -11.100000, 7
44,-20.600, 4.500, 4.712, -6.438, -11.100000, 15
45,-18.260, -17.100, 0.000, -3.193, -11.100000, 61
46,-18.260, -17.100, 1.571, -3.436, -11.100000, 37
47,-18.260, -17.100, 3.142, -2.431, -11.100000, 65
48,-18.260, -17.100, 4.712, 6.878, 8.900000, 5
49,-18.260, -14.940, 0.000, 4.526, 8.900000, 11
50,-18.260, -14.940, 1.571, -2.299, 8.900000, 86
51,-18.260, -14.940, 3.142, -0.229, 8.900000, 31
52,-18.260, -14.940, 4.712, -2.685, 8.900000, 143
53,-18.260, -12.780, 0.000, -2.678, -11.100000, 94
54,-18.260, -12.780, 1.571, -2.122, 8.900000, 55
55,-18.260, -12.780, 3.142, -0.101, 8.900000, 31
56,-18.260, -12.780, 4.712, 2.973, 9.900000, 16
57,-18.260, -10.620, 0.000, -2.718, 8.900000, 210
58,-18.260, -10.620, 1.571, -4.278, -11.100000, 28
59,-18.260, -10.620, 3.142, -2.518, -0.100000, 400
60,-18.260, -10.620, 4.712, -2.684, -0.100000, 400
61,-18.260, -8.460, 0.000, -2.472, -11.100000, 69
62,-18.260, -8.460, 1.571, -2.142, -0.100000, 400
63,-18.260, -8.460, 3.142, -2.742, 8.900000, 166
64,-18.260, -8.460, 4.712, -2.353, 8.900000, 65
65,-18.260, -6.300, 0.000, -2.961, 8.900000, 197
66,-18.260, -6.300, 1.571, -2.002, 8.900000, 189
67,-18.260, -6.300, 3.142, -1.924, 8.900000, 57
68,-18.260, -6.300, 4.712, -1.066, 8.900000, 42
69,-18.260, -4.140, 0.000, -2.887, 8.900000, 93
70,-18.260, -4.140, 1.571, -2.233, -0.100000, 400
71,-18.260, -4.140, 3.142, -2.555, -0.100000, 400
72,-18.260, -4.140, 4.712, -1.305, 8.900000, 43
73,-18.260, -1.980, 0.000, -2.169, -0.100000, 400
74,-18.260, -1.980, 1.571, -3.636, -11.100000, 48
75,-18.260, -1.980, 3.142, -4.140, -11.100000, 33
76,-18.260, -1.980, 4.712, -0.806, 8.900000, 38
77,-18.260, 0.180, 0.000, -1.228, 8.900000, 49
78,-18.260, 0.180, 1.571, -4.650, -11.100000, 34
79,-18.260, 0.180, 3.142, -6.005, -11.100000, 17
80,-18.260, 0.180, 4.712, -2.514, -0.100000, 400
81,-18.260, 2.340, 0.000, -2.549, -0.100000, 400
82,-18.260, 2.340, 1.571, -6.540, -11.100000, 18
83,-18.260, 2.340, 3.142, -5.805, -11.100000, 18
84,-18.260, 2.340, 4.712, -0.190, 8.900000, 36
85,-18.260, 4.500, 0.000, -3.111, -11.100000, 42
