index,x,y,theta,discounted_reward,last_reward,path_len
1,-20.600, -17.100, 0.000, 61.592, 98.900000, 10
2,-20.600, -17.100, 1.571, -4.162, -11.100000, 34
3,-20.600, -17.100, 3.142, 72.171, 98.900000, 7
4,-20.600, -17.100, 4.712, 80.184, 98.900000, 5
5,-20.600, -14.940, 0.000, -2.958, 98.900000, 173
6,-20.600, -14.940, 1.571, -2.330, -11.100000, 76
7,-20.600, -14.940, 3.142, -3.888, -11.100000, 59
8,-20.600, -14.940, 4.712, 68.462, 98.900000, 8
9,-20.600, -12.780, 0.000, 11.904, 98.900000, 39
10,-20.600, -12.780, 1.571, -2.166, -0.100000, 400
11,-20.600, -12.780, 3.142, -3.212, -0.100000, 400
12,-20.600, -12.780, 4.712, 47.206, 98.900000, 15
13,-20.600, -10.620, 0.000, 16.915, 98.900000, 33
14,-20.600, -10.620, 1.571, -2.295, -11.100000, 102
15,-20.600, -10.620, 3.142, -4.875, -11.100000, 33
16,-20.600, -10.620, 4.712, 47.206, 98.900000, 15
17,-20.600, -8.460, 0.000, -2.673, -0.100000, 400
18,-20.600, -8.460, 1.571, -2.461, -0.100000, 400
19,-20.600, -8.460, 3.142, -6.671, -11.100000, 14
20,-20.600, -8.460, 4.712, 36.075, 98.900000, 20
21,-20.600, -6.300, 0.000, 18.216, 98.900000, 32
22,-20.600, -6.300, 1.571, -8.355, -11.100000, 8
23,-20.600, -6.300, 3.142, -8.689, -11.100000, 7
24,-20.600, -6.300, 4.712, -2.222, 98.900000, 106
25,-20.600, -4.140, 0.000, 5.344, 98.900000, 50
26,-20.600, -4.140, 1.571, -2.126, -0.100000, 400
27,-20.600, -4.140, 3.142, 3.957, 99.900000, 54
28,-20.600, -4.140, 4.712, 10.773, 98.900000, 41
29,-20.600, -1.980, 0.000, -2.417, -0.100000, 400
30,-20.600, -1.980, 1.571, -2.486, 98.900000, 385
31,-20.600, -1.980, 3.142, -8.689, -11.100000, 7
32,-20.600, -1.980, 4.712, -3.068, 98.900000, 370
33,-20.600, 0.180, 0.000, -2.246, -0.100000, 400
34,-20.600, 0.180, 1.571, -6.169, -11.100000, 20
35,-20.600, 0.180, 3.142, -8.689, -11.100000, 7
36,-20.600, 0.180, 4.712, 5.890, 98.900000, 50
37,-20.600, 2.340, 0.000, -2.040, -0.100000, 400
38,-20.600, 2.340, 1.571, -6.429, -11.100000, 19
39,-20.600, 2.340, 3.142, -8.037, -11.100000, 9
40,-20.600, 2.340, 4.712, -2.571, 98.900000, 160
41,-20.600, 4.500, 0.000, -3.190, -11.100000, 134
42,-20.600, 4.500, 1.571, -2.050, -11.100000, 181
43,-20.600, 4.500, 3.142, -2.906, -11.100000, 103
44,-20.600, 4.500, 4.712, -7.176, -11.100000, 12
45,-18.260, -17.100, 0.000, -3.636, -10.100000, 73
46,-18.260, -17.100, 1.571, -2.243, -0.100000, 400
47,-18.260, -17.100, 3.142, 42.409, 98.900000, 17
48,-18.260, -17.100, 4.712, 80.184, 98.900000, 5
49,-18.260, -14.940, 0.000, -3.555, -11.100000, 78
50,-18.260, -14.940, 1.571, -2.492, -11.100000, 385
51,-18.260, -14.940, 3.142, -2.676, -11.100000, 120
52,-18.260, -14.940, 4.712, -2.694, -11.100000, 188
53,-18.260, -12.780, 0.000, 31.548, 98.900000, 22
54,-18.260, -12.780, 1.571, -2.683, 98.900000, 325
55,-18.260, -12.780, 3.142, -3.138, 98.900000, 398
56,-18.260, -12.780, 4.712, 49.796, 98.900000, 14
57,-18.260, -10.620, 0.000, -2.432, -11.100000, 72
58,-18.260, -10.620, 1.571, -4.056, -11.100000, 30
59,-18.260, -10.620, 3.142, -2.439, 98.900000, 314
60,-18.260, -10.620, 4.712, 16.105, 98.900000, 34
61,-18.260, -8.460, 0.000, 12.771, 98.900000, 37
62,-18.260, -8.460, 1.571, 7.155, 99.900000, 46
63,-18.260, -8.460, 3.142, 5.434, 98.900000, 50
64,-18.260, -8.460, 4.712, 38.079, 98.900000, 19
65,-18.260, -6.300, 0.000, 9.310, 98.900000, 42
66,-18.260, -6.300, 1.571, -3.330, -11.100000, 45
67,-18.260, -6.300, 3.142, -2.529, 98.900000, 377
68,-18.260, -6.300, 4.712, -2.528, 98.900000, 375
69,-18.260, -4.140, 0.000, -2.135, 98.900000, 321
70,-18.260, -4.140, 1.571, -2.183, 98.900000, 231
71,-18.260, -4.140, 3.142, -2.573, 98.900000, 386
72,-18.260, -4.140, 4.712, -3.951, -11.100000, 36
73,-18.260, -1.980, 0.000, -2.727, 98.900000, 334
74,-18.260, -1.980, 1.571, -2.671, 99.900000, 242
75,-18.260, -1.980, 3.142, -6.671, -11.100000, 14
76,-18.260, -1.980, 4.712, 10.590, 98.900000, 41
77,-18.260, 0.180, 0.000, -2.240, -0.100000, 400
78,-18.260, 0.180, 1.571, -5.287, -11.100000, 25
79,-18.260, 0.180, 3.142, -6.216, -11.100000, 16
80,-18.260, 0.180, 4.712, -6.438, -11.100000, 15
81,-18.260, 2.340, 0.000, -2.595, -0.100000, 400
82,-18.260, 2.340, 1.571, -5.914, -11.100000, 22
83,-18.260, 2.340, 3.142, -7.176, -11.100000, 12
84,-18.260, 2.340, 4.712, -2.275, -11.100000, 164
85,-18.260, 4.500, 0.000, -2.397, 98.900000, 168
86,-18.260, 4.500, 1.571, -6.005, -11.100000, 17
87,-18.260, 4.500, 3.142, -7.176, -11.100000, 12
88,-18.260, 4.500, 4.712, -2.444, 98.900000, 373
89,-15.920, -17.100, 0.000, -3.293, -11.100000, 68
90,-15.920, -17.100, 1.571, -1.844, 98.900000, 89
91,-15.920, -17.100, 3.142, 9.305, 98.900000, 43
92,-15.920, -17.100, 4.712, 76.074, 98.900000, 6
93,-15.920, -14.940, 0.000, 41.409, 98.900000, 17
94,-15.920, -14.940, 1.571, -2.812, -11.100000, 217
95,-15.920, -14.940, 3.142, 9.921, 98.900000, 42
96,-15.920, -14.940, 4.712, -3.311, -11.100000, 74
97,-15.920, -12.780, 0.000, 46.206, 98.900000, 15
98,-15.920, -12.780, 1.571, -3.017, -11.100000, 298
99,-15.920, -12.780, 3.142, 42.409, 98.900000, 17
100,-15.920, -12.780, 4.712, -3.767, -11.100000, 48
101,-15.920, -10.620, 0.000, 24.989, 98.900000, 26
102,-15.920, -10.620, 1.571, -3.094, 98.900000, 341
103,-15.920, -10.620, 3.142, -4.164, -11.100000, 29
104,-15.920, -10.620, 4.712, 36.075, 98.900000, 20
105,-15.920, -8.460, 0.000, -4.856, -11.100000, 32
106,-15.920, -8.460, 1.571, 13.063, 98.900000, 37
107,-15.920, -8.460, 3.142, 5.244, 98.900000, 51
108,-15.920, -8.460, 4.712, 31.460, 98.900000, 22
109,-15.920, -6.300, 0.000, 13.017, 98.900000, 37
110,-15.920, -6.300, 1.571, -2.292, -0.100000, 400
111,-15.920, -6.300, 3.142, -2.599, -11.100000, 83
112,-15.920, -6.300, 4.712, 24.589, 98.900000, 27
113,-15.920, -4.140, 0.000, -2.000, 98.900000, 292
114,-15.920, -4.140, 1.571, -2.798, -0.100000, 400
115,-15.920, -4.140, 3.142, -4.944, -11.100000, 23
116,-15.920, -4.140, 4.712, 13.105, 98.900000, 37
117,-15.920, -1.980, 0.000, -2.984, -0.100000, 400
118,-15.920, -1.980, 1.571, -2.420, 98.900000, 278
119,-15.920, -1.980, 3.142, -6.671, -11.100000, 14
120,-15.920, -1.980, 4.712, -2.944, 98.900000, 195
121,-15.920, 0.180, 0.000, -2.073, -0.100000, 400
122,-15.920, 0.180, 1.571, -4.052, -11.100000, 42
123,-15.920, 0.180, 3.142, -6.005, -11.100000, 17
124,-15.920, 0.180, 4.712, -3.741, -11.100000, 42
125,-15.920, 2.340, 0.000, -2.348, -11.100000, 85
126,-15.920, 2.340, 1.571, -4.250, -11.100000, 37
127,-15.920, 2.340, 3.142, -5.075, -11.100000, 25
128,-15.920, 2.340, 4.712, -5.615, -11.100000, 19
130,-15.920, 4.500, 1.571, -2.049, -0.100000, 400
131,-15.920, 4.500, 3.142, -5.532, -11.100000, 24
132,-15.920, 4.500, 4.712, -5.434, -11.100000, 20
134,-13.580, -4.140, 1.571, -4.009, -11.100000, 39
135,-13.580, -4.140, 3.142, 5.998, 98.900000, 50
136,-13.580, -4.140, 4.712, -3.079, -11.100000, 197
137,-13.580, -1.980, 0.000, -0.665, 98.900000, 77
138,-13.580, -1.980, 1.571, -4.056, -11.100000, 30
139,-13.580, -1.980, 3.142, 6.841, 98.900000, 48
140,-13.580, -1.980, 4.712, -2.000, -0.100000, 400
141,-13.580, 0.180, 0.000, -3.259, -11.100000, 63
142,-13.580, 0.180, 1.571, -3.489, -11.100000, 109
143,-13.580, 0.180, 3.142, 7.532, 98.900000, 47
144,-13.580, 0.180, 4.712, -2.078, 98.900000, 293
145,-13.580, 2.340, 0.000, -2.450, -11.100000, 111
146,-13.580, 2.340, 1.571, -5.284, -11.100000, 33
147,-13.580, 2.340, 3.142, -5.262, -11.100000, 21
148,-13.580, 2.340, 4.712, -3.140, -11.100000, 129
149,-13.580, 4.500, 0.000, -2.158, -0.100000, 400
150,-13.580, 4.500, 1.571, -2.074, -11.100000, 148
151,-13.580, 4.500, 3.142, -4.278, -11.100000, 28
152,-13.580, 4.500, 4.712, -2.718, -11.100000, 80
153,-11.240, -4.140, 0.000, -3.030, 98.900000, 391
154,-11.240, -4.140, 1.571, -1.426, 98.900000, 89
155,-11.240, -4.140, 3.142, -3.252, -1.100000, 400
156,-11.240, -4.140, 4.712, -3.044, -0.100000, 400
157,-11.240, -1.980, 0.000, -2.251, -0.100000, 400
158,-11.240, -1.980, 1.571, -4.490, -11.100000, 33
159,-11.240, -1.980, 3.142, -4.398, -11.100000, 27
160,-11.240, -1.980, 4.712, -2.963, -0.100000, 400
161,-11.240, 0.180, 0.000, -2.430, -0.100000, 400
162,-11.240, 0.180, 1.571, -3.093, 98.900000, 170
163,-11.240, 0.180, 3.142, 13.502, 98.900000, 37
164,-11.240, 0.180, 4.712, -2.643, -0.100000, 400
165,-11.240, 2.340, 0.000, -2.895, 98.900000, 280
166,-11.240, 2.340, 1.571, -2.837, 98.900000, 302
