index,x,y,theta,discounted_reward, last_reward, path_len
1,-20.600, -17.100, 0.000, -1.154, 8.900000, 43
2,-20.600, -17.100, 1.571, -1.223, 8.900000, 43
3,-20.600, -17.100, 3.142, -3.513, 8.900000, 169
4,-20.600, -17.100, 4.712, 6.878, 8.900000, 5
5,-20.600, -14.940, 0.000, -2.830, 8.900000, 354
6,-20.600, -14.940, 1.571, -4.657, -11.100000, 25
7,-20.600, -14.940, 3.142, -2.726, -11.100000, 146
8,-20.600, -14.940, 4.712, 4.200, 8.900000, 12
9,-20.600, -12.780, 0.000, -1.611, 8.900000, 49
10,-20.600, -12.780, 1.571, -2.510, -0.100000, 400
11,-20.600, -12.780, 3.142, -1.794, 8.900000, 54
12,-20.600, -12.780, 4.712, 4.526, 8.900000, 11
13,-20.600, -10.620, 0.000, 0.765, 8.900000, 25
14,-20.600, -10.620, 1.571, -1.994, 8.900000, 51
15,-20.600, -10.620, 3.142, -0.853, 8.900000, 36
16,-20.600, -10.620, 4.712, 1.183, 8.900000, 25
17,-20.600, -8.460, 0.000, 1.024, 8.900000, 26
18,-20.600, -8.460, 1.571, -2.254, -0.100000, 400
19,-20.600, -8.460, 3.142, -1.757, 8.900000, 48
20,-20.600, -8.460, 4.712, 1.350, 8.900000, 24
21,-20.600, -6.300, 0.000, -1.621, 8.900000, 48
22,-20.600, -6.300, 1.571, -6.438, -11.100000, 15
23,-20.600, -6.300, 3.142, -3.629, -11.100000, 46
24,-20.600, -6.300, 4.712, 0.729, 8.900000, 28
25,-20.600, -4.140, 0.000, -1.583, 8.900000, 45
26,-20.600, -4.140, 1.571, -6.438, -11.100000, 15
27,-20.600, -4.140, 3.142, -7.735, -11.100000, 10
28,-20.600, -4.140, 4.712, -1.368, 8.900000, 44
29,-20.600, -1.980, 0.000, -2.080, -0.100000, 400
30,-20.600, -1.980, 1.571, -7.176, -11.100000, 12
31,-20.600, -1.980, 3.142, -7.449, -11.100000, 11
32,-20.600, -1.980, 4.712, -1.198, 8.900000, 41
33,-20.600, 0.180, 0.000, -2.560, -11.100000, 253
34,-20.600, 0.180, 1.571, -2.461, 8.900000, 277
35,-20.600, 0.180, 3.142, -8.355, -11.100000, 8
36,-20.600, 0.180, 4.712, -7.449, -11.100000, 11
37,-20.600, 2.340, 0.000, -2.139, -0.100000, 400
38,-20.600, 2.340, 1.571, -7.118, -11.100000, 16
39,-20.600, 2.340, 3.142, -8.355, -11.100000, 8
40,-20.600, 2.340, 4.712, -7.735, -11.100000, 10
41,-20.600, 4.500, 0.000, -2.165, 8.900000, 242
42,-20.600, 4.500, 1.571, -4.164, -11.100000, 29
43,-20.600, 4.500, 3.142, -2.305, 8.900000, 149
44,-20.600, 4.500, 4.712, -2.280, 8.900000, 66
45,-18.260, -17.100, 0.000, -3.211, -11.100000, 72
46,-18.260, -17.100, 1.571, -2.564, -11.100000, 59
47,-18.260, -17.100, 3.142, -2.841, 9.900000, 108
48,-18.260, -17.100, 4.712, -2.561, 8.900000, 207
49,-18.260, -14.940, 0.000, -3.763, -11.100000, 33
50,-18.260, -14.940, 1.571, -2.654, 8.900000, 104
51,-18.260, -14.940, 3.142, -2.548, 8.900000, 161
52,-18.260, -14.940, 4.712, 5.231, 8.900000, 9
53,-18.260, -12.780, 0.000, 0.174, 8.900000, 27
54,-18.260, -12.780, 1.571, -2.454, -0.100000, 400
55,-18.260, -12.780, 3.142, 2.330, 8.900000, 19
56,-18.260, -12.780, 4.712, 3.050, 8.900000, 16
57,-18.260, -10.620, 0.000, -1.744, 8.900000, 47
58,-18.260, -10.620, 1.571, -2.132, -0.100000, 400
59,-18.260, -10.620, 3.142, -1.714, 8.900000, 51
